gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,churn_prediction
1,0,1,1,-0.791320501614164,1,1,-0.4935610235167579,-0.7481879571842651,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.18568959805217172,0
1,0,0,0,-0.6690886177852331,1,0,-1.5240147679735105,-0.8631834699626608,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.029878966060631264,0
1,0,1,0,1.0421577558197987,1,0,1.181757322309704,1.4990665744239262,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.17279633395578367,0
1,0,0,0,0.6754621043330061,1,1,1.2931128075977727,1.2145888969272465,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0.4433022979397947,0
1,0,0,0,-0.3023929662984406,1,1,1.3529456056630036,0.17768805707524432,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.4389403872190933,0
0,0,1,1,1.4903413298592119,1,0,1.6105590417771916,2.475877681529266,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.0380387926510992,0
0,0,0,0,0.797693988161937,1,0,-1.4675060142452372,-0.5560508161330804,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.008453177420269796,0
1,0,0,1,1.5718292524118322,1,0,1.3928341377064908,2.2495926306793175,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0.05001793230622578,0
0,0,1,1,-0.9135523854430948,1,0,-0.3190486958265014,-0.7742621363716935,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.1633456018798454,0
0,0,0,0,-0.46536881140368175,1,1,0.8393807556031058,-0.18547540482207542,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.5738103124687639,1
1,1,0,0,-1.2802480369298874,0,1,-0.8359375902233565,-0.9898704505662146,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.7504999202735989,1
1,0,1,0,-0.8320644628904743,1,0,-1.495760391109374,-0.9181333687409043,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.07080879379792032,0
1,0,0,0,-1.2802480369298874,1,0,-1.4841262359300234,-0.9984736061356706,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.20719025843369962,0
0,0,1,0,1.0421577558197987,1,1,-0.16281861198951006,0.5390426503656527,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.01442702207949059,0
1,0,1,1,0.6754621043330061,1,0,-0.17279074500038175,0.3030955940300073,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.022758394822163443,0
0,0,0,0,-0.09867315991688919,1,1,-0.3157246514895444,-0.33208199947490835,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11354334268484934,0
1,0,1,1,0.5939741817803856,1,1,1.1485168789401314,1.0879019163236925,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.4794977530100453,0
1,0,1,1,-1.2802480369298874,0,0,-1.150059780065818,-0.9940396721114126,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5119972566094688,1
1,0,1,0,1.6125732136881425,1,1,0.8460288442770204,1.802757966025724,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.01459614869969274,0
0,0,0,1,-0.6283446565089229,1,1,-0.0032644838155611237,-0.5251015154562937,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.34141206270836744,0
0,1,1,0,1.5718292524118322,1,1,1.0487955488314133,1.9781299834030968,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0.03111547942085959,0
1,1,1,0,-1.2395040756535771,1,1,1.0205411719672768,-0.9272218305219706,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.7548890314170498,1
0,0,1,1,-0.22090504374582004,1,0,0.044934159070319335,-0.18037968960016687,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,0.029853572309676044,0
1,0,0,0,-1.2802480369298874,1,0,-1.4824642137615447,-0.9984515467624158,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.2170585917659714,0
1,1,0,0,-1.2802480369298874,1,0,-0.6497911073537496,-0.9873998007616529,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.43104580457883085,0
0,0,1,1,1.6125732136881425,1,0,1.1667991227933967,2.1919956071104716,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.02396325454174797,0
1,0,0,0,-1.1172721918246462,1,1,0.1629377330323022,-0.8675512258671538,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6546717963671876,1
0,0,0,0,0.5532302205040753,1,1,0.3324639942171226,0.5581019488579861,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.2343000688890733,0
1,0,0,0,0.06430268518835193,1,1,1.3811999825271402,0.5585210769498313,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.6098827188057723,1
0,0,0,0,-0.8728084241667845,1,1,1.0986562138857725,-0.5196749096355598,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0.726445051389496,1
1,0,1,1,-0.9135523854430948,1,0,-0.5068572008645872,-0.7974906564092247,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0.11588648215098077,0
0,0,1,1,1.5310852911355222,1,1,0.14631751134751586,1.142256212024051,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0.010712118194506693,0
0,0,1,1,-0.6283446565089229,1,0,-1.4641819699082799,-0.8228368762792375,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.044879840732636976,0
0,0,0,0,1.24587756220135,1,1,0.5003282332334644,1.1374472686544572,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0.012157644110338485,0
0,0,1,0,-0.791320501614164,1,1,0.3790006149345245,-0.5743600959347432,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0.29198205695238916,0
0,0,0,0,0.6754621043330061,1,1,0.6548962949019775,0.7162235363499369,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.41056757912225145,0
1,0,0,0,-1.2395040756535771,1,0,-0.5168293338754589,-0.9645683494427119,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3205162427834094,0
0,0,0,0,-1.2395040756535771,1,1,0.526920587929123,-0.9437663604632323,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.733918166688525,1
1,0,0,0,0.797693988161937,1,1,0.4970041888965074,0.8534769567426433,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0.026853598326565416,0
0,0,1,1,1.4903413298592119,1,1,-0.021546727668825993,0.8694920617257846,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0.005460907459628364,0
0,1,0,0,0.4309983366751445,1,1,0.8460288442770204,0.6862448480963709,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.5216043642418556,1
0,0,0,0,-0.7098325790615434,1,1,1.1402067680977384,-0.3780537333383605,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.4823112560137762,0
0,1,1,0,-0.3023929662984406,1,1,0.15628964435838757,-0.23411632284938455,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.20389004944191153,0
0,1,1,0,-0.9950403079957154,1,1,0.526920587929123,-0.727959511909416,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6436671694810685,1
0,1,1,1,1.1236456783724194,1,1,0.33412601638560113,0.9587222265423222,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,0.01940214315973784,0
1,1,0,0,-0.5876006952326126,1,1,1.0188791497987983,-0.23416044159589464,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.7780918122679584,1
0,0,1,1,1.24587756220135,1,1,1.1584890119510036,1.7770587961836308,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0.11932618676534121,0
1,1,1,1,1.368109446030281,1,1,1.451004913603243,2.114633385105133,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0.19439964624771433,0
0,0,1,1,0.06430268518835193,1,0,-1.3245721077560746,-0.6128095835182352,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.013472435948616503,0
0,0,0,0,1.6125732136881425,1,1,1.419426492402149,2.457590461100858,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.07949957302045331,0
0,0,1,0,0.5939741817803856,1,1,1.1867433888151402,1.0693499834162248,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.5607123241871889,1
1,0,0,0,1.1236456783724194,1,1,0.8343946890976701,1.3974169824648146,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.27243988965059657,0
1,0,1,0,1.6125732136881425,0,0,-0.7544985039679034,0.2994337380696746,0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0.006275283652216175,0
0,0,1,1,-0.5876006952326126,1,1,-0.3456410505221597,-0.5851030107099358,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.07978532458173189,0
0,0,0,0,-0.9542963467194051,1,0,0.9839766842607471,-0.6291555791002016,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.735216112078625,1
0,0,0,0,-1.1987601143772668,1,1,0.3490842159019089,-0.8996696733264564,0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.4770613020362677,0
1,0,1,0,0.5939741817803856,1,1,0.4687498120323708,0.6031251296714726,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.19527396598821598,0
0,0,0,0,-0.05792919864057891,1,0,0.4787219450432425,0.09436980429105073,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0.049444688778036504,0
0,0,1,1,0.7162060656093164,1,0,-1.4841262359300234,-0.5966621222955638,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0048967587329652625,0
1,0,0,0,-0.9135523854430948,1,1,0.5003282332334644,-0.6158758364006823,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.43051061394985496,0
1,0,0,0,-1.2802480369298874,1,0,-0.5234774225493735,-0.9857232883942716,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.2677346303543928,0
0,0,1,1,0.797693988161937,1,1,-1.4758161250876303,-0.5261824247457894,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0.013260958657526708,0
1,1,1,1,1.2866215234776603,1,1,1.5557123102173966,2.124626281189655,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0.07905896245756956,0
1,0,1,1,1.2051336009250397,1,1,-1.3478404181147754,-0.3788478707755411,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.004492471517534286,0
0,0,0,1,-1.1987601143772668,1,1,-0.009912572489475751,-0.929096877248647,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.24143710051091427,0
0,1,0,0,0.9606698332671781,1,0,1.5191478225108668,1.7013069084259078,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.22552394043279342,0
0,0,0,0,0.5532302205040753,1,0,-0.30409049631019386,0.17892338197752508,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0.04760267659173335,0
0,0,1,1,-0.9950403079957154,1,0,-0.3373309396797665,-0.7946008785128177,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.17153415884691203,0
1,1,0,0,-0.09867315991688919,1,1,0.33080197204864403,-0.07588443849115852,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.2876263028578456,0
0,0,1,1,0.512486259227765,1,1,-1.2929936865549807,-0.47061486351640547,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.017221201656529607,0
0,0,0,1,-1.2802480369298874,1,1,0.48370801154867815,-0.9723553082017324,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.6999621979975023,1
0,0,1,1,-0.8728084241667845,0,0,-0.47361675749501453,-0.757938200162982,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.4491949982900743,0
0,0,1,0,-1.0357842692720256,1,1,0.3440981493964733,-0.7881374821490981,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.5899667753940654,1
0,0,0,0,0.3902543753988342,1,1,1.2964368519347298,0.9018752216641471,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0.3449893954482012,0
0,0,1,0,0.6754621043330061,1,1,-1.4841262359300234,-0.5779337144020558,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.008580209375108309,0
1,0,0,0,-0.9542963467194051,1,1,1.1468548567716528,-0.6020225499965326,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.6815049051441828,1
0,0,1,0,0.10504664646466222,1,1,-0.08802761440797156,-0.029934764000961456,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.07488819308417671,0
0,0,1,1,0.6347181430566958,1,0,-1.4675060142452372,-0.5410283829464149,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.005692463777506085,0
0,0,1,1,0.5532302205040753,1,1,-1.4907743246039378,-0.5983386346629451,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.007663122686509014,0
1,0,1,0,-0.13941712119319946,0,0,-1.0320562061038352,-0.5620950844049546,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.25909917943446786,0
1,0,1,1,-0.09867315991688919,1,0,0.5734572086465244,0.1265764892433733,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.26414406013418995,0
1,1,0,0,-1.2802480369298874,1,0,0.32913994988016554,-0.9744068299144488,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5905122792973145,1
1,0,1,1,1.368109446030281,1,1,0.6382760732171912,1.5136919388920012,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0.01676450057028859,0
0,0,0,0,1.3273654847539706,1,1,1.5374300663641316,2.128155780910457,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0.24798686970087433,0
1,0,0,0,1.6125732136881425,1,1,1.2000395661629695,2.283475827999021,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0.10851395453511935,0
0,0,0,0,-0.8320644628904743,1,1,0.47041183420084937,-0.59822833779667,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5563522960891408,1
1,0,1,1,1.5718292524118322,1,1,0.06820246942901982,1.0877033819643973,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.008209416988927312,0
1,0,0,0,-1.1172721918246462,1,0,-1.4542098368974081,-0.9571343406557717,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.17400492415846067,0
1,0,0,0,0.797693988161937,1,0,-1.4558718590658866,-0.5188807721983792,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.005221229148165851,0
0,1,1,0,-0.3023929662984406,1,1,1.1202625020759949,0.10200234743728616,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.6923426371026506,1
1,0,0,0,-1.2802480369298874,1,0,-1.4824642137615447,-0.9984515467624158,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.20711524763636904,0
0,0,1,1,-1.2802480369298874,1,0,-1.5073945462887242,-0.998782437361241,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.24149017162599723,0
1,0,0,0,0.22727853029359305,1,0,1.0039209502824906,0.5833819906082337,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0.1682423109165363,0
0,1,1,0,1.368109446030281,0,0,-0.6398189743428778,0.3282212201674698,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0.04005989658670951,0
1,0,1,0,1.4495973685829016,1,1,1.5025276008260804,2.3508892726663486,1,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.0966719973231725,0
1,0,0,0,-1.1172721918246462,0,0,-1.346178395946297,-0.963156549554391,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.45128373591696025,0
0,0,1,1,1.6125732136881425,1,1,1.3080710071140806,2.214650583443373,0,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0.1253677391645729,0
0,0,0,0,-0.01718523736426863,0,0,-1.1517218022342968,-0.5980959815571398,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.0624855937887399,0
1,0,0,0,0.4309983366751445,1,0,0.9823146620922681,0.7226648733404015,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0.23830019833431054,0
1,0,1,1,1.6125732136881425,1,0,-1.509056568457203,-0.4059147217594451,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.0013099098210680176,0
1,0,1,0,0.9199258719908678,1,1,1.0620917261792426,1.303973477356569,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.28934087112880874,0
0,0,0,0,0.797693988161937,1,0,-0.2276374765601766,0.3348390321439745,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.012727470510551984,0
0,0,0,0,0.4309983366751445,1,1,0.8925654649944222,0.7371358221956916,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0.4026372523501314,0
0,1,1,0,0.18653456901728277,1,1,0.3889727479453962,0.25802829447001063,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5190252175003927,1
0,0,1,1,1.2866215234776603,0,1,-0.33899296184824507,0.5030417532134674,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0.027773269510490153,0
1,0,1,1,-1.1987601143772668,1,0,0.8327326669291911,-0.897772567226525,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.48792492980671903,0
0,0,0,0,0.1457906077409725,0,0,-1.1218054032016815,-0.5104320322417084,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.033354938442246795,0
0,0,1,1,-0.9135523854430948,1,1,1.178433277972747,-0.5376532988383974,1,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.662660775092141,1
0,0,0,0,0.3495104141225239,1,0,-1.4675060142452372,-0.6389058220789184,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.008939902570006337,0
1,0,1,1,-0.22090504374582004,1,1,0.6781646052606785,-0.05810458364761617,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.26992233657723047,0
0,0,1,1,0.9606698332671781,1,1,1.1634750784564392,1.4259838708300596,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.19691345339090618,0
0,0,0,0,-1.076528230548336,1,0,-1.4658439920767583,-0.957619646867382,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.1706912822238677,0
1,0,0,0,-1.1987601143772668,1,1,0.3191678168692938,-0.9060889509436658,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7219248260051124,1
0,0,1,1,-1.0357842692720256,1,0,-0.46863069098957844,-0.8527935051595485,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.19073040544703762,0
0,0,1,1,-1.1580161531009565,1,0,-1.4608579255713225,-0.9796128420026324,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.1612551389591896,0
1,0,0,0,0.02355872391204165,1,1,0.802816267896576,0.32839769515350997,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0.108511987783392,0
0,1,0,0,-0.22090504374582004,1,1,0.44049543516823375,-0.06520770183573112,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.5993710745539094,1
1,0,1,0,1.6125732136881425,1,1,-1.3711087284734764,-0.24677840309776344,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0034251309739597295,0
1,0,0,0,-1.2802480369298874,1,0,-1.4974224132778524,-0.9986500811217108,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.20779106717355408,0
1,1,0,0,1.5718292524118322,0,1,-0.2774981416145356,0.7509229304800763,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0.05172578974721261,0
0,0,0,0,-0.791320501614164,1,1,0.703094937787858,-0.4710339916082507,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.716422810926092,1
0,0,1,1,-0.3023929662984406,0,1,-0.20603118836995443,-0.3444131891244619,1,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0.26990756135202665,0
1,0,0,0,1.4088534073065913,1,0,-0.47361675749501453,0.43095172141607685,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.0057205610197516975,0
1,0,0,0,-1.2802480369298874,0,1,-0.9755474523755615,-0.991723437919636,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.7016176216236151,1
1,0,0,0,-1.2395040756535771,1,0,-0.6797075063863649,-0.9715170520180417,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4234142256553208,0
0,0,0,0,0.4309983366751445,1,1,-1.2996417752288951,-0.48314458752525424,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.013413128595814627,0
0,0,0,0,-0.38388088885106114,1,1,0.3391120828910372,-0.22271162687654159,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3404762374736171,0
0,0,1,1,1.2866215234776603,1,0,-1.4824642137615447,-0.44363625002552154,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.002252990316161083,0
1,0,0,1,1.0014137945434884,1,1,-1.5024084797832884,-0.4909315462842747,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0040044883301091315,0
0,1,1,0,-1.2802480369298874,1,1,0.18786806555948168,-0.9762818766411252,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.691612340783183,1
